slug,date,title,url,post_type,visibility
why-good-questions-and-clear-thinking-are-the-real-ai-leverage-9hf44,2025-08-04,Why Good Questions and Clear Thinking Are the Real AI Leverage,https://typeshare.co/seanoliver/posts/why-good-questions-and-clear-thinking-are-the-real-ai-leverage-9hf44,Atomic_Essay,public
you-are-tanking-your-job-search-results-with-your-crappy-networking-6bx4p,2025-05-11,You are tanking your job search results with your crappy networking,https://typeshare.co/seanoliver/posts/you-are-tanking-your-job-search-results-with-your-crappy-networking-6bx4p,Atomic_Essay,public
the-most-overlooked-career-skill-building-real-relationships-at-work-ic0q3,2025-04-08,The Most Overlooked Career Skill? Building Real Relationships at Work,https://typeshare.co/seanoliver/posts/the-most-overlooked-career-skill-building-real-relationships-at-work-ic0q3,Blog_Post,hidden
getting-hired-at-microsoft-isnt-about-luck-lyefh,2025-04-08,Getting Hired at Microsoft Isn’t About Luck,https://typeshare.co/seanoliver/posts/getting-hired-at-microsoft-isnt-about-luck-lyefh,Atomic_Essay,hidden
3-professional-reflections-after-160-days-back-at-microsoft,2024-11-29,3 Professional Reflections After 160 Days Back At Microsoft,https://typeshare.co/seanoliver/posts/3-professional-reflections-after-160-days-back-at-microsoft,Atomic_Essay,public
5-lessons-to-help-you-turn-fear-into-action-today,2024-10-21,5 Lessons to Help You Turn Fear Into Action Today,https://typeshare.co/seanoliver/posts/5-lessons-to-help-you-turn-fear-into-action-today,Medium_Story,hidden
from-feeling-to-doing-transforming-uncertainty-into-purposeful-steps,2024-10-07,From Feeling to Doing: Transforming Uncertainty into Purposeful Steps,https://typeshare.co/seanoliver/posts/from-feeling-to-doing-transforming-uncertainty-into-purposeful-steps,Medium_Story,hidden
7-things-i-wish-they-covered-in-new-employee-training,2024-08-25,7 Things I wish they covered in new employee training,https://typeshare.co/seanoliver/posts/7-things-i-wish-they-covered-in-new-employee-training,LinkedIn_Post,hidden
steal-my-favorite-interview-prep-strategy,2024-06-22,Steal My Favorite Interview Prep Strategy,https://typeshare.co/seanoliver/posts/steal-my-favorite-interview-prep-strategy,Atomic_Essay,public
every-job-seeker-must-balance-these-two-activities,2024-06-20,Every Job Seeker Must Balance These Two Activities,https://typeshare.co/seanoliver/posts/every-job-seeker-must-balance-these-two-activities,Atomic_Essay,public
building-relationships-is-a-forever-game,2024-06-13,Building relationships is a forever game,https://typeshare.co/seanoliver/posts/building-relationships-is-a-forever-game,Deck,hidden
4-job-search-council-steps-for-unemployed-professionals-to-land-your-next-job,2024-06-09,4 Job Search Council Steps For Unemployed Professionals To Land Your Next Job,https://typeshare.co/seanoliver/posts/4-job-search-council-steps-for-unemployed-professionals-to-land-your-next-job,Atomic_Essay,public
your-network-is-your-key-to-the-hidden-job-market,2024-06-02,Your Network Is Your Key to the Hidden Job Market,https://typeshare.co/seanoliver/posts/your-network-is-your-key-to-the-hidden-job-market,Atomic_Essay,public
1-opinion-on-async-work-99percent-of-the-world-agrees-with-but-i-do-not,2024-05-22,1 Opinion On Async Work 99% Of The World Agrees With-But I Do Not,https://typeshare.co/seanoliver/posts/1-opinion-on-async-work-99percent-of-the-world-agrees-with-but-i-do-not,Atomic_Essay,public
